count,date,title,description,org_link,link
1,2024-02-14 14:53:00,서울사이버대 'AI 선도대학 원년' 선포 통한 인공지능 기반 교육 혁신,"부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산<b>데이터분석가</b>, 데이터기반 마케팅 전문가 등으로 활약 가능하다. AI스마트팜학과는 기존 원예생명공학분야는 물론 신규 생성되는 스마트팜 분야까지... ",http://www.fnnews.com/news/202402141450532264,https://n.news.naver.com/mnews/article/014/0005142116?sid=102
2,2024-02-14 13:22:00,"비트코인, 불리한 몇몇 지표에도 '조정 깊지 않을 것'",최근 미국 인플레이션 <b>데이터</b>는 일부의 경우를 제외하고는 비트코인은 물론 대부분 가상화폐 가격에... 가상화폐 <b>분석가</b> 크립토콘의 분석에 의하면 각 시장 사이클에서 비트코인 가격 움직임은 20주 이동평균선(EMA)과... ,http://www.joseilbo.com/news/news_read.php?uid=509834&class=78&grp=,https://n.news.naver.com/mnews/article/123/0002327468?sid=004
3,2024-02-14 12:00:00,한국엔 왜 보치-베이커 안 나올까…구단들이 노장 감독 외면하는 진짜 이유 [...,레인저스 구단의 <b>데이터 분석가</b> 바비 밴델로가 '디 애슬레틱'과 인터뷰에서 한 말도 인상적이다. 보치 감독과 만나기 전까지만 해도 밴델로는 노장 감독인 보치가 데이터를 무시하는 것 아닐까 걱정이 많았다. 내심 감독과... ,http://www.spochoo.com/news/articleView.html?idxno=107930,http://www.spochoo.com/news/articleView.html?idxno=107930
4,2024-02-14 10:18:00,딜링룸 24시…챙겨봐야 할 국제경제뉴스,"있으며, <b>데이터</b>센터 시장 부문의 매출도 25억~30억달러가량 예상치를 웃돌 것&quot;이라고 분석했다. 미즈호의 <b>분석가</b> 또한 엔비디아에 투자하는 것이 AI의 가장 좋은 투자전략이라고 평가했다. 엔비디아는 다음 주... ",https://news.einfomax.co.kr/news/articleView.html?idxno=4298415,https://news.einfomax.co.kr/news/articleView.html?idxno=4298415
5,2024-02-14 10:10:00,"서울사이버대, 'AI 선도대학 원년' 선포 통한 인공지능 기반 교육 혁신 '박차...","부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산데이터분석 컨설턴트, 부동산시장 트렌드 분석가, 부동산 스타트업, 부동산중개법인, 공인중개사무소, 부동산 개발회사, 부동산<b>데이터분석가</b>... ",https://www.dailysmart.co.kr/news/articleView.html?idxno=83357,https://www.dailysmart.co.kr/news/articleView.html?idxno=83357
6,2024-02-14 09:59:00,"비트코인, 고래 지난 3주간 8.2조원어치 쓸어담아",유명 가상화폐 <b>분석가</b> 알리 마르티네스는 12일 트위터 계정을 통해 고래가 지난 3주 동안 61억6천만 달러... 공개된 <b>데이터</b>에 따르면 현물 ETF 출시 이후 현물 ETF로 전환된 GBTC에서 약 60억 달러의 유출이 발생했음에도 약... ,http://www.joseilbo.com/news/news_read.php?uid=509805&class=78&grp=,https://n.news.naver.com/mnews/article/123/0002327439?sid=004
7,2024-02-14 09:38:00,"​서울사이버대, ‘AI 선도대학 원년’ 선포","부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산데이터분석 컨설턴트, 부동산시장 트렌드 분석가, 부동산 스타트업, 부동산중개법인, 공인중개사무소, 부동산 개발회사, 부동산<b>데이터분석가</b>... ",https://dhnews.co.kr/news/view/1065573151990027,https://dhnews.co.kr/news/view/1065573151990027
8,2024-02-14 09:26:00,"엔비디아, 22년 만에 아마존 시총 추월…미국 4위 등극",다우존스 마켓 <b>데이터</b>에 따르면 엔비디아 가치가 아마존보다 높았던 건 2002년 4월 이후 처음이다. 당시... 투자분석 전문 회사인 멜리우스 리서치의 <b>분석가</b> 벤 라이체스는 이날 메모에서 &quot;내년이 엔비디아에 성장의... ,http://www.econonews.co.kr/news/articleView.html?idxno=326268,http://www.econonews.co.kr/news/articleView.html?idxno=326268
9,2024-02-14 09:06:00,금시세(금값) 14일 0.191%↓,"이러한 상황에서 경제전문가들은 인플레이션 <b>데이터</b>의 큰 변화가 없다면 금의 현재 거래가를 벗어나기... 연방준비제도가 3월의 금리 인상 기대를 지연시킨 가운데, 여전히 많은 <b>분석가</b>들은 5월의 인하 가능성을... ",https://www.bntnews.co.kr/article/view/bnt202402140011,https://www.bntnews.co.kr/article/view/bnt202402140011
10,2024-02-14 09:02:00,[영상] <b>데이터</b>로 22대 총선 결과 예측해봤더니…,"선거전문가이자 <b>데이터분석가</b> 엄경영 시대정신연구소장과 유승찬 스토리닷 대표가 20대, 21 총선 득표율, 3‧9 대선 및 6‧1 지방선거 결과를 바탕으로 현재 시점에서 판세를 예측해봤다. 엄 소장은 국민의힘 승리, 유... ",https://shindonga.donga.com/3/all/13/4744912/1,https://n.news.naver.com/mnews/article/262/0000017204?sid=100
