count,date,title,description,org_link,link
1,2024-02-13 10:02:00,"1위 프로게이머·2위 백엔드개발자·3위 프론트엔드개발자, 2월 1주차 IT 직업...",<b>데이터사이언티스트</b>는 59포인트로 전일보다 3포인트 하락해 6위를 차지했다. 게임개발자는 56포인트로 전일보다 6포인트 상승해 7위를 차지했다. 클라우드엔지니어는 51포인트로 전일보다 19포인트 상승해 8위를... ,https://www.cwn.kr/news/articleView.html?idxno=26236,https://www.cwn.kr/news/articleView.html?idxno=26236
2,2024-02-12 14:06:00,"1998년부터 지금까지 쭉 업계 1위 '잡코리아', 비결은?","또 '<b>데이터 사이언티스트</b>', '클라우드 엔지니어' 등 신규 직무를 추가해 직무 선택과 채용 정보 관리가 편리해졌다. 또 앱 디자인을 개편, 더욱 명확한 색상 표현으로 경쾌하면서도 트렌디한 모습으로 변화했다. 사용자... ",http://www.g-enews.com/ko-kr/news/article/news_all/2024021211544516983b60030fa2_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/2024021211544516983b60030fa2_1/article.html
3,2024-02-07 16:05:00,"엘크 비슷한 몸집, 머리엔 길이 3.5ｍ 뿔…고대 사슴의 미스터리",이용한 <b>데이터</b>와 분석법은 오늘날의 기준으로 보면 굉장히 부정확하다”며 “단순히 사슴뿔의 길이만 측정한 것 등이 그러한 예”라고 과학잡지 뉴<b>사이언티스트</b>에 말했다. 이번 연구에서 연구진은 사슴뿔의 길이가... ,https://www.hani.co.kr/arti/animalpeople/ecology_evolution/1127657.html,https://n.news.naver.com/mnews/article/028/0002676204?sid=103
4,2024-02-06 16:48:00,AI 리터러시,"주목할 부분은 AI 전문인력 수를 의미하는 인재 부문에서 세부 항목인 <b>데이터 사이언티스트</b> 및 엔지니어 수에서는 20위를 차지하여, 데이터분석 관련 인재가 부족함이 드러났다. 이는 '2022년 인공지능산업 실태조사... ",https://www.ccdailynews.com/news/articleView.html?idxno=2255625,https://www.ccdailynews.com/news/articleView.html?idxno=2255625
5,2024-02-06 16:16:00,염기훈 수원 감독 &quot;아직 베스트11 안 정했다…내부 경쟁 유도&quot; [일문일답],"피지컬 코치도 있고, <b>사이언티스트</b>도 있다. 피지컬 파트와 충분한 회의를 했다. 동계훈련을 하면서 한 차례... <b>데이터</b>도 실시간으로 확인을 해 무리하게 뛴 선수가 있다면 곧바로 휴식을 취할 수 있도록 체크하면서 체력... ",https://www.xportsnews.com/article/1821547,https://sports.news.naver.com/news.nhn?oid=311&aid=0001689228
6,2024-02-05 10:14:00,[#IT라운지] 잡코리아 '앤어워드'·코나아이-온어스 'MOU'·코바코 '방송광고...,"양자 AI CSS는 결제 <b>데이터</b>를 양자 AI 알고리즘을 활용해 가공, 미래의 연체 확률을 예측하는 새로운... 리서치 <b>사이언티스트</b>로, 총 4개 직무다. 지원자는 채용을 진행하는 직무에 대해 중복 지원할 수 있다. 서류 전형을... ",http://www.newsworks.co.kr/news/articleView.html?idxno=742555,http://www.newsworks.co.kr/news/articleView.html?idxno=742555
7,2024-02-04 10:08:00,[AW 2024 주목 솔루션] AI 도입은 더 이상 미룰 수 없는 숙명…한 번에 해결보...,이 플랫폼의 특장점은 <b>데이터 사이언티스트</b>와 머신러닝 엔지니어에 높은 자유도를 제공함으로써 다양한 유형의 ML 모델을 쉽게 개발하도록 지원한다. MLOps를 개발하는 사람들은 보통 파이썬 주피터 노트북을 가지고... ,https://www.hellot.net/news/article.html?no=86503,https://www.hellot.net/news/article.html?no=86503
8,2024-02-02 10:46:00,"1위 프로게이머·2위 백엔드개발자·3위 프론트엔드개발자, 1월 5주차 IT 직업...",<b>데이터사이언티스트</b>는 62포인트로 전일보다 1포인트 하락해 7위를 차지했다. 게임개발자는 50포인트로 전일보다 1포인트 하락해 8위를 차지했다. 정보통신기술자는 43포인트로 전일보다 2포인트 상승해 9위를... ,https://www.cwn.kr/news/articleView.html?idxno=25375,https://www.cwn.kr/news/articleView.html?idxno=25375
9,2024-02-02 10:07:00,"아이브릭스, AI 바우처 수요기업 모집…최대 2억 지원","또 도메인별 특화된 서비스를 위해 전문 컨설팅팀과 데이터 엔지니어, <b>데이터 사이언티스트</b>로 구성된 데이터 관리팀이 함께 비즈니스 모델을 발굴하고 지원한다. 기존 AI 제품군만 별도로 도입할 수도 있다.... ",https://zdnet.co.kr/view/?no=20240202100611,https://n.news.naver.com/mnews/article/092/0002320210?sid=105
10,2024-01-31 13:24:00,"[세미콘 2024] 하정우 네이버 “하이퍼클로바X 탈종속화…삼성과 AI칩 개발, ...","또한 보스톤 컨설팅 그룹이 <b>데이터 사이언티스트</b> 그룹을 생성형 AI를 사용하는 팀과 아닌 팀으로 구분한 결과 품질평가에서 각각 6점, 4점을 기록한 사례도 있다. 컨설팅에 일가견이 있는 그룹임에도 불구하고 생성형... ",https://www.ddaily.co.kr/page/view/2024013113193179149,https://n.news.naver.com/mnews/article/138/0002165990?sid=105
